"","SciName","family","m_index","movement_keyword","mean_pld","sd_pld","n_mean","mean_pld_family","sd_pld_family","n_mean_family","pld"
"511","Salvelinus alpinus","Salmonidae",3,"migratory",NA,NA,NA,36.6153846153846,34.7312022575725,13,36.6153846153846
"512","Bolbometopon muricatum","Scaridae",2,"habitat_reef",31,0,1,52.65,6.15182899632297,2,31
"513","Scarus ghobban","Scaridae",2,"habitat_reef",29.7,0,1,52.65,6.15182899632297,2,29.7
"514","Scarus persicus","Scaridae",2,"habitat_reef",NA,NA,NA,52.65,6.15182899632297,2,52.65
"515","Sparisoma cretense","Scaridae",2,"habitat_coastal",NA,NA,NA,52.65,6.15182899632297,2,52.65
"516","Argyrosomus hololepidotus","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"517","Argyrosomus regius","Sciaenidae",3,"migratory",NA,NA,NA,20.875,1.65201896679992,4,20.875
"518","Atractoscion aequidens","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"519","Atractoscion nobilis","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"520","Atrobucca nibe","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"521","Cilus gilberti","Sciaenidae",2,"habitat_benthic",NA,NA,NA,20.875,1.65201896679992,4,20.875
"522","Cynoscion acoupa","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"523","Cynoscion analis","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"524","Cynoscion arenarius","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"525","Cynoscion guatucupa","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"526","Cynoscion jamaicensis","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"527","Cynoscion leiarchus","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"528","Cynoscion nebulosus","Sciaenidae",2,"habitat_coastal",19.5,0.707106781186548,2,20.875,1.65201896679992,4,19.5
"529","Cynoscion regalis","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"530","Cynoscion striatus","Sciaenidae",2,"habitat_reef",NA,NA,NA,20.875,1.65201896679992,4,20.875
"531","Cynoscion virescens","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"532","Genyonemus lineatus","Sciaenidae",2,"habitat_benthic",NA,NA,NA,20.875,1.65201896679992,4,20.875
"533","Isopisthus parvipinnis","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"534","Larimichthys polyactis","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"535","Larimus breviceps","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"536","Leiostomus xanthurus","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"537","Macrodon ancylodon","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"538","Menticirrhus littoralis","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"539","Menticirrhus saxatilis","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"540","Micropogonias furnieri","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
"541","Micropogonias undulatus","Sciaenidae",2,"habitat_coastal",NA,NA,NA,20.875,1.65201896679992,4,20.875
