"","SciName","PLD","database","Family","part_of_stock_list"
"116","Scomber vulgaris",46,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"117","Scomber vulgaris",46,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"118","Scomber vulgaris",42.06,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"119","Scomber vulgaris",47.38,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"120","Scomber sloanei",26.34,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"121","Scomber sloanei",26.4,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"122","Scomber sloanei",26.85,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"123","Coregonus lavaretus",19,"Fish and Inverts (Ramesh)","Salmonidae",TRUE
"124","Salmo socialis",150,"Fish and Inverts (Ramesh)","Salmonidae",FALSE
"125","Oreochromis mossambicus",0,"Fish and Inverts (Ramesh)","Cichlidae",FALSE
"126","Thunnus zacalles",26.34,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"127","Thunnus zacalles",26.4,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"128","Thunnus zacalles",26.85,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"129","Alosa teres",1.5,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"130","Alosa teres",2,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"131","Alosa teres",2.08,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"132","Alosa teres",5.62,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"133","Centropomus sandat",0,"Fish and Inverts (Ramesh)","Centropomidae",FALSE
"134","Salmo lavaretus",19,"Fish and Inverts (Ramesh)","Salmonidae",FALSE
"135","Thunnus rocheanus",16,"Fish and Inverts (Ramesh)","Scombridae",FALSE
"136","Pseudopleuronectes americanus",87,"Fish and Inverts (Ramesh)","Pleuronectidae",TRUE
"137","Menidia menidia",35,"Fish and Inverts (Ramesh)","Atherinopsidae",TRUE
"138","Harengula pensacolae",0,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"139","Abudefduf melanopselion",18,"Fish and Inverts (Ramesh)","Pomacentridae",FALSE
"140","Dorosoma notata",1.5,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"141","Dorosoma notata",3.96,"Fish and Inverts (Ramesh)","Clupeidae",FALSE
"142","Cynoscion nebulosus",19,"Fish and Inverts (Ramesh)","Sciaenidae",TRUE
