scientific,LarvaeDuration,EggDuration,EggFloating
Apogon kallopterus,NA,NA,in mouth (mouthbrooders)
Umbrina canariensis,NA,NA,buoyant (pelagic)
Caesio trilineata,NA,NA,buoyant (pelagic)
Brachydeuterus auritus,NA,NA,buoyant (pelagic)
Centropomus sandat,0,NA,fixed on plant or stone
Rhincodon typus,NA,NA,in female (livebearers)
Epinephelus sp.,NA,NA,buoyant (pelagic)
Apogon guamensis,NA,NA,in mouth (mouthbrooders)
Cephalopholis tauvina,NA,1,
Cephalopholis tauvina,NA,1,
Cephalopholis tauvina,NA,1.27,
Echiodon cryomargarites,NA,NA,buoyant (pelagic)
Lepidorhombus whiffiagonis,NA,7,buoyant (pelagic)
Coregonus pidschian,NA,NA,
Salmo lavaretus,19,NA,
Scorpaena capensis,NA,NA,in female (livebearers)
Sebastes constellatus,NA,NA,in female (livebearers)
Raja straeleni,NA,NA,on the bottom (demersal)
Raja leptocauda,NA,NA,on the bottom (demersal)
Salvelinus timagamiensis,NA,NA,
Coris julis,NA,NA,buoyant (pelagic)
Hippocampus sindonis,NA,NA,in brood pouch
Tylosurus rafale,NA,NA,on the bottom (demersal)
Tylosurus melanotus,NA,NA,on the bottom (demersal)
Salmo maraena,NA,NA,in sand or gravel
Belone macleayana,NA,NA,on the bottom (demersal)
Plotosus lineatus,NA,NA,on the bottom (demersal)
Seriola carpenteri,NA,NA,buoyant (pelagic)
Raja reversa,NA,NA,on the bottom (demersal)
Gymnothorax unicolor,NA,NA,
Sebastes darwini,NA,NA,in female (livebearers)
Hippocampus borboniensis,NA,NA,in brood pouch
Encheliophis gracilis,NA,NA,buoyant (pelagic)
Conger oceanicus,NA,NA,
Sebastes exsul,NA,NA,in female (livebearers)
Raja leucosticta,NA,NA,on the bottom (demersal)
Argentina pennanti,NA,NA,buoyant (pelagic)
Aulostomus chinensis,NA,NA,buoyant (pelagic)
Bathyraja notoroensis,NA,NA,on the bottom (demersal)
Trematomus borchgrevinki,NA,NA,on the bottom (demersal)
Lampris regius,NA,NA,buoyant (pelagic)
Raja texana,NA,NA,in sand or gravel
Thunnus rocheanus,16,NA,buoyant (pelagic)
Zoramia perlita,NA,NA,in mouth (mouthbrooders)
Caranx pinnulatus,NA,0.38,buoyant (pelagic)
Pseudopleuronectes americanus,87,NA,on the bottom (demersal)
Lutjanus argentiventris,NA,NA,buoyant (pelagic)
Hydrolagus trolli,NA,NA,on the bottom (demersal)
Paralichthys olivaceus,NA,NA,buoyant (pelagic)
Belone truncata,NA,NA,on the bottom (demersal)
Sebastes norvegicus,NA,NA,in female (livebearers)
Arius thunbergi,NA,NA,buoyant (pelagic)
Menidia menidia,35,NA,on the bottom (demersal)
Raja stellata,NA,NA,in sand or gravel
Harengula pensacolae,0,NA,
Siganus vermiculatus,NA,NA,on the bottom (demersal)
Lates calcarifer,NA,0.58,buoyant (pelagic)
Lates calcarifer,NA,0.7,buoyant (pelagic)
Abudefduf melanopselion,18,NA,
Salmo lagocephalus,NA,NA,in sand or gravel
Ammodytes terebrans,NA,NA,in sand or gravel
Salvelinus namaycush,NA,NA,on the bottom (demersal)
Apogon novemfasciatus,NA,NA,in mouth (mouthbrooders)
Dorosoma notata,0,1.5,on the bottom (demersal)
Dorosoma notata,0,3.96,on the bottom (demersal)
Cynoscion nebulosus,19,NA,
Sebastes maliger,NA,NA,in female (livebearers)
Hippocampus denise,NA,NA,in brood pouch
Lutjanus norwegicus,NA,NA,on the bottom (demersal)
Raja ackleyi,NA,NA,on the bottom (demersal)
Scomber flexuosus,NA,NA,buoyant (pelagic)
Labroides dimidiatus,26,NA,
Salmo trutta pellegrini,NA,NA,
Lampris guttatus,NA,NA,buoyant (pelagic)
Scomber scombrus japonicus,17,2.04,buoyant (pelagic)
Scomber scombrus japonicus,17,2.08,buoyant (pelagic)
Raja tengu,NA,NA,in sand or gravel
Bathyraja spinicauda,NA,NA,in sand or gravel
Anchoviella baganensis,NA,NA,buoyant (pelagic)
Haemulon striatum,NA,NA,buoyant (pelagic)
Achirus fasciatus,NA,NA,buoyant (pelagic)
Raja cortezensis,NA,NA,on the bottom (demersal)
Salmo hudsonicus,NA,NA,
Oncorhynchus tshawytscha,NA,NA,
Macrourus berglax,NA,NA,
Etrumeus sadina,0,1.5,buoyant (pelagic)
Etrumeus sadina,0,2,buoyant (pelagic)
Etrumeus sadina,0,2.08,buoyant (pelagic)
Etrumeus sadina,0,5.62,buoyant (pelagic)
Chaenodraco wilsoni,NA,NA,on the bottom (demersal)
Hippocampus ingens,NA,NA,in brood pouch
Raja oxyptera,NA,NA,on the bottom (demersal)
Morone flavescens,36,NA,
Hydrolagus deani,NA,NA,on the bottom (demersal)
Etrumeus whiteheadi,NA,NA,
Nectamia bandanensis,NA,NA,in mouth (mouthbrooders)
Hydrolagus sp. B2,NA,NA,on the bottom (demersal)
Strangomera bentincki,NA,NA,buoyant (pelagic)
Salmo thymus,NA,NA,
Raja dageti,NA,NA,on the bottom (demersal)
Dipturus innominatus,NA,NA,on the bottom (demersal)
Raja isotrachys,NA,NA,in sand or gravel
Raja ocellata,NA,NA,in sand or gravel
Hippocampus monikei,NA,NA,in brood pouch
Tylosurus acus acus,NA,NA,on the bottom (demersal)
Hippocampus grandiceps,NA,NA,in brood pouch
Raja lanceorostrata,NA,NA,on the bottom (demersal)
Lethrinus nebulosus,NA,0.74,buoyant (pelagic)
Lethrinus nebulosus,NA,1.16,buoyant (pelagic)
Raja nasuta,NA,NA,in sand or gravel
Morone saxitilis,33,NA,buoyant (pelagic)
Lutjanus griseus,NA,NA,buoyant (pelagic)
Spectrunculus grandis,NA,NA,buoyant (pelagic)
Caranx lugubris,NA,NA,buoyant (pelagic)
Caranx goreensis,NA,NA,buoyant (pelagic)
Coregonus nasus kennicotti,NA,NA,
Raja platana,NA,NA,on the bottom (demersal)
Trachurus trachurus capensis,NA,NA,
Sebastes goodei,NA,NA,in female (livebearers)
Atheresthes stomias,NA,NA,buoyant (pelagic)
Achirus lineatus,23,NA,
Raja magellanica,NA,NA,on the bottom (demersal)
Takifugu rubripes,NA,9,on the bottom (demersal)
Anchoviella compressa,NA,NA,buoyant (pelagic)
Raja stenorhyncus,NA,NA,on the bottom (demersal)
Haemulon melanurum,NA,NA,buoyant (pelagic)
Pomadasys empherus,NA,NA,buoyant (pelagic)
Argentina sialis,NA,NA,buoyant (pelagic)
Stolephorus andhraensis,NA,NA,
Priacanthus altus,NA,NA,buoyant (pelagic)
Scomberomorus maculatus,9,0.65,
Scomberomorus maculatus,9,1.02,
Scomberomorus maculatus,9,1.04,
Arius herzbergii,NA,10,in mouth (mouthbrooders)
Diagramma pictum,NA,NA,buoyant (pelagic)
Salmo muelleri,NA,NA,buoyant (pelagic)
Sebastolobus macrochir,NA,NA,buoyant (pelagic)
Myoxocephalus quadricornis relicta,NA,90,
Myoxocephalus quadricornis relicta,NA,55,
Myoxocephalus quadricornis relicta,NA,74,
Myoxocephalus quadricornis relicta,NA,97,
Raja naevus,NA,NA,in sand or gravel
Alepes djedaba,NA,NA,buoyant (pelagic)
Coregonus hoyi,24,NA,
Haemulon californiensis,NA,NA,buoyant (pelagic)
Sebastes levis,NA,NA,in female (livebearers)
Scomber uam,NA,NA,buoyant (pelagic)
Thunnus pacificus,NA,NA,buoyant (pelagic)
Caranx hippus,NA,NA,buoyant (pelagic)
Hyporhamphus unifasciatus,NA,NA,
Oncorhynchus milktschutsch,NA,NA,
Hippocampus zosterae,NA,NA,in brood pouch
Raja fyllae lipacantha,NA,NA,in sand or gravel
Nototheniops larseni,NA,75,on the bottom (demersal)
Nototheniops larseni,NA,75,on the bottom (demersal)
Oncorhynchus clarkii pleuriticus,NA,NA,
Corythoichthys intestinalis,NA,NA,in brood pouch
Scarus pavoninus,NA,NA,
Bathyraja abyssicola,NA,NA,in sand or gravel
Coryphaenoides berglax,NA,NA,
Rhombosolea bassensis,NA,NA,buoyant (pelagic)
Haemulon chrysopterum,NA,NA,buoyant (pelagic)
Raja steindachneri,NA,NA,on the bottom (demersal)
Spratelloides bryoporus,NA,15,on the bottom (demersal)
Serranus multinotatus,NA,NA,buoyant (pelagic)
Trematomus pennellii,NA,NA,on the bottom (demersal)
Maurolicus muelleri,NA,NA,buoyant (pelagic)
Spaniblennius riodourensis,NA,NA,on the bottom (demersal)
Bathyraja caeluronigricans,NA,NA,on the bottom (demersal)
Trichiurus nitens,NA,6,buoyant (pelagic)
Caranx pisquetus,NA,NA,buoyant (pelagic)
Antennatus coccineus,NA,NA,buoyant (pelagic)
Caesio striatus,NA,NA,buoyant (pelagic)
Trachurus mediterraneus,NA,NA,buoyant (pelagic)
Haemulon taeniatum,NA,NA,buoyant (pelagic)
Genypterus omostigma,NA,NA,buoyant (pelagic)
Scomber sypterus,NA,1.96,buoyant (pelagic)
Tylosurus scapularis,NA,NA,on the bottom (demersal)
Microstomus kitt,NA,7,buoyant (pelagic)
Microstomus kitt,NA,5.5,buoyant (pelagic)
Microstomus kitt,NA,6,buoyant (pelagic)
Microstomus kitt,NA,8.8,buoyant (pelagic)
Harengula thrissina peruana,NA,NA,buoyant (pelagic)
Pagellus erythrinus,NA,NA,
Raja laevis,NA,NA,in sand or gravel
Raja griseocauda,NA,NA,on the bottom (demersal)
Makaira nigricans,NA,NA,buoyant (pelagic)
Bathyraja pallida,NA,NA,on the bottom (demersal)
Engraulis ringens,74,NA,buoyant (pelagic)
Xiphias gladius,NA,NA,buoyant (pelagic)
Engraulis encrasicolus,37,NA,buoyant (pelagic)
Dorosoma cepedianum,0,1.5,on the bottom (demersal)
Dorosoma cepedianum,0,3.96,on the bottom (demersal)
Anchoviella guineensis,37,NA,buoyant (pelagic)
Chionodraco hamatus,NA,NA,on the bottom (demersal)
Raja fullonica,NA,NA,in sand or gravel
Coregonus restrictus nusslinii,NA,NA,in sand or gravel
Cololabis saira,NA,NA,buoyant (pelagic)
Raja meerdervoortii,NA,NA,in sand or gravel
Sebastes dallii,NA,NA,in female (livebearers)
Molva byrkelange,NA,4,buoyant (pelagic)
Molva byrkelange,NA,4,buoyant (pelagic)
Molva byrkelange,NA,4,buoyant (pelagic)
Molva byrkelange,NA,10,buoyant (pelagic)
Molva byrkelange,NA,4,buoyant (pelagic)
Solea lutea,NA,NA,buoyant (pelagic)
Lophius americanus,NA,NA,buoyant (pelagic)
Symphodus melops,NA,NA,on the bottom (demersal)
Harengula thrissina,NA,NA,buoyant (pelagic)
Prionotus maculatus,NA,NA,buoyant (pelagic)
Gaidropsarus mustela,NA,NA,buoyant (pelagic)
Pristipomoides aurolineatus,NA,NA,buoyant (pelagic)
Raja bathyphilla,NA,NA,on the bottom (demersal)
Sebastes melanosema,NA,NA,in female (livebearers)
Bathyraja smithii,NA,NA,on the bottom (demersal)
Amblyraja georgiana,NA,NA,on the bottom (demersal)
Merluccius albidus,NA,7,
Raja quadrimaculata,NA,NA,in sand or gravel
Alosa sapidissima,0,2,on the bottom (demersal)
Alosa sapidissima,0,3,on the bottom (demersal)
Alosa sapidissima,0,7,on the bottom (demersal)
Alosa sapidissima,0,11,on the bottom (demersal)
Alosa sapidissima,0,13.5,on the bottom (demersal)
Alosa sapidissima,0,2,on the bottom (demersal)
Alosa sapidissima,0,17,on the bottom (demersal)
Anchoa mitchilli,32,NA,buoyant (pelagic)
Brotula imberbis,NA,NA,buoyant (pelagic)
Belone schismatorhynchus,NA,NA,on the bottom (demersal)
Anarhichas lupus,NA,60,
Haemulon macrostomum,NA,NA,buoyant (pelagic)
Lepidonotothen mizops,NA,NA,on the bottom (demersal)
Paralichthys oblongus,NA,NA,buoyant (pelagic)
Trichiurus lepturus,NA,6,buoyant (pelagic)
Apogon angustatus,NA,NA,in mouth (mouthbrooders)
Sebastes sp.,NA,NA,in female (livebearers)
Hydrolagus novaezealandiae,NA,NA,on the bottom (demersal)
Serranus knysnaensis,NA,NA,buoyant (pelagic)
Raja kwantungensis,NA,NA,in sand or gravel
Rajella annandalei,NA,NA,on the bottom (demersal)
Raja scobina,NA,NA,in sand or gravel
Trachipterus altivelis,NA,NA,buoyant (pelagic)
Macruronus novaezelandiae,NA,2.5,buoyant (pelagic)
Trematomus lepidorhinus,NA,NA,on the bottom (demersal)
Pollachius pollachius,NA,NA,buoyant (pelagic)
Scarus flavipectoralis,NA,NA,buoyant (pelagic)
Naso brevirostris,NA,NA,buoyant (pelagic)
Salmo strom,NA,220,in covered nest (i.e. burrow or tunnel)
Salmo scouleri,NA,NA,
Epinephelus ciliatus,NA,NA,in female (livebearers)
Scarus siganus,NA,NA,on the bottom (demersal)
Rajella purpuriventralis,NA,NA,on the bottom (demersal)
Epinephelus malabaricus,NA,0.8,
Sebastes gilli,NA,NA,in female (livebearers)
Istiophorus triactis,NA,NA,buoyant (pelagic)
Brotula clarkae,NA,NA,buoyant (pelagic)
Bathyraja murrayi,NA,NA,in sand or gravel
Encrasicholina heteroloba,NA,NA,buoyant (pelagic)
Thunnus thynnus maccoyii,24,NA,buoyant (pelagic)
Lepidonotothen squamifrons,NA,60,on the bottom (demersal)
Lepidonotothen squamifrons,NA,60,on the bottom (demersal)
Ammodytes immaculatus,NA,NA,in sand or gravel
Coregonus widegreni,NA,NA,in sand or gravel
Hyporhamphus meeki,NA,NA,fixed on plant or stone
Phycis ranina,NA,NA,buoyant (pelagic)
Sardinella tawilis,NA,NA,fixed on plant or stone
Alosa maeotica maeotica,NA,NA,on the bottom (demersal)
Stolephorus rastralis,NA,NA,
Rastrelliger serventyi,NA,NA,buoyant (pelagic)
Cheilodipterus quinquelineatus,23,NA,in mouth (mouthbrooders)
Scomber pelamys,20,1.1,buoyant (pelagic)
Trachurus picturatus,NA,NA,buoyant (pelagic)
Tautogolabrus adspersus,NA,1.67,buoyant (pelagic)
Ariomma indicum,NA,NA,buoyant (pelagic)
Dussumieria productissima,NA,1.5,
Dissostichus mawsoni,NA,NA,on the bottom (demersal)
Cryodraco antarcticus,NA,NA,on the bottom (demersal)
Arius subrostratus,NA,NA,buoyant (pelagic)
Hippocampus tuberculatus,NA,NA,in brood pouch
Raja jenseni,NA,NA,on the bottom (demersal)
Raja miraletus,NA,NA,in sand or gravel
Fistularia corneta,NA,NA,
Raja brachyura,NA,NA,in sand or gravel
Polynemus oligodon,NA,NA,buoyant (pelagic)
Raja africana,NA,NA,on the bottom (demersal)
Urophycis chuss,NA,1.25,buoyant (pelagic)
Eleutheronema tetradactylum,NA,NA,buoyant (pelagic)
Hippocampus villosus,NA,NA,in brood pouch
Hippocampus obscurus,NA,NA,in brood pouch
Abudefduf vaigiensis,NA,NA,on the bottom (demersal)
Hilsa kelee,NA,NA,buoyant (pelagic)
Bregmaceros mcclellandi,NA,NA,buoyant (pelagic)
Raja fuliginea,NA,NA,in sand or gravel
Scomber pelagicus,NA,2,buoyant (pelagic)
Scomber pelagicus,NA,1.7,buoyant (pelagic)
Cynoscion jamaicensis,NA,NA,buoyant (pelagic)
Salmo truncatus,NA,NA,in sand or gravel
Dascyllus aruanus,NA,NA,in open nest
Raja kreffti,NA,NA,on the bottom (demersal)
Sebastes matsubarai,NA,NA,in female (livebearers)
Bathyraja multispinis,NA,NA,on the bottom (demersal)
Hydrolagus eidolon,NA,NA,on the bottom (demersal)
Molva vulgaris,NA,NA,buoyant (pelagic)
Bathyraja griseocauda,NA,NA,on the bottom (demersal)
Oncorhynchus scouleri,NA,NA,
Stenotomus chrysops,NA,1.67,buoyant (pelagic)
Lophius hispidus,NA,NA,buoyant (pelagic)
Siganus argenteus,NA,1.04,
Alosa fallax,NA,NA,on the bottom (demersal)
Harengula tawilis,NA,NA,fixed on plant or stone
Alectis alexandrina,NA,NA,buoyant (pelagic)
Trachinus cirrhosus,NA,NA,in another animal (i.e. bivalve)
Scarus lauia,NA,NA,buoyant (pelagic)
Lutjanus luteus,NA,NA,buoyant (pelagic)
Merlangius merlangus,NA,NA,buoyant (pelagic)
Genyatremus luteus,NA,NA,buoyant (pelagic)
Mugil saliens,NA,NA,
Melanogrammus aeglefinus,127,13,buoyant (pelagic)
Melanogrammus aeglefinus,127,15,buoyant (pelagic)
Lethrinus lentjan,NA,NA,buoyant (pelagic)
Lutjanus synagris,NA,NA,
Stolephorus robertsi,NA,NA,
Haemulon flaviguttatus,NA,NA,buoyant (pelagic)
Naucrates ductor,NA,NA,on the bottom (demersal)
Pagellus bogaraveo,NA,NA,
Amphichthys cryptocentrus,NA,NA,
Balistoides conspicillum,NA,NA,
Raja hyperborea,NA,NA,in sand or gravel
Thunnus thynnus,28,3,buoyant (pelagic)
Oncorhynchus masou masou,NA,NA,in sand or gravel
Sphoeroides maculatus,NA,NA,on the bottom (demersal)
Genypterus tigerinus,NA,NA,buoyant (pelagic)
Acanthurus tractus,NA,NA,buoyant (pelagic)
Ammodytes americanus,159,NA,on the bottom (demersal)
Mugil cephalus,NA,1.54,buoyant (pelagic)
Mugil cephalus,NA,2.04,buoyant (pelagic)
Mugil cephalus,NA,1.5,buoyant (pelagic)
Mugil cephalus,NA,2.14,buoyant (pelagic)
Mugil cephalus,NA,1.08,buoyant (pelagic)
Liza saliens,NA,NA,
Bathyraja maculata,NA,NA,in sand or gravel
Lutjanus campechanus,NA,1,
Salmo lenok,NA,20.5,
Salmo lenok,NA,50,
Caranx dumerili,NA,NA,buoyant (pelagic)
Siganus canaliculatus,NA,NA,on the bottom (demersal)
Rajella fyllae,NA,NA,in sand or gravel
Hippocampus spinosissimus,NA,NA,in brood pouch
Apogon coccineus,NA,NA,in mouth (mouthbrooders)
Hippocampus trimaculatus,NA,NA,in brood pouch
Raja bahamensis,NA,NA,on the bottom (demersal)
Hydrolagus alberti,NA,NA,on the bottom (demersal)
Alosa malayana,NA,NA,buoyant (pelagic)
Stolephorus lucidus,NA,NA,
Microchirus variegatus,NA,NA,buoyant (pelagic)
Coryphaena vlamingii,NA,2,buoyant (pelagic)
Coryphaena vlamingii,NA,1.7,buoyant (pelagic)
Scomber sarda,NA,NA,buoyant (pelagic)
Trachurus imperialis,NA,1.17,buoyant (pelagic)
Alepocephalus bairdii,NA,NA,buoyant (pelagic)
Trachinus araneus,NA,NA,buoyant (pelagic)
Campogramma glaycos,NA,NA,buoyant (pelagic)
Trematomus hansoni,NA,NA,on the bottom (demersal)
Atheresthes evermanni,NA,NA,buoyant (pelagic)
Cephalopholis malabaricus,NA,0.8,
Acanthurus undulatus,NA,NA,buoyant (pelagic)
Ethmalosa fimbriata,NA,0.71,buoyant (pelagic)
Eleginus gracilis,NA,NA,
Raja pita,NA,NA,on the bottom (demersal)
Bathyraja hesperafricana,NA,NA,on the bottom (demersal)
Chelon labrosus,NA,NA,buoyant (pelagic)
Alosa aestivalis,NA,2.08,on the bottom (demersal)
Alosa aestivalis,NA,2.35,on the bottom (demersal)
Alosa aestivalis,NA,3.63,on the bottom (demersal)
Odontesthes regia,NA,NA,
Bathyraja lindbergi,NA,NA,on the bottom (demersal)
Mugil petrosus,NA,NA,buoyant (pelagic)
Istiophorus audax,NA,NA,
Tylosurus sierrita,NA,NA,fixed on plant or stone
Tylosurus pterurus,NA,NA,on the bottom (demersal)
Caranx suareus,NA,NA,buoyant (pelagic)
Hippocampus longirostris,NA,NA,in brood pouch
Chaetodon unimaculatus,NA,NA,buoyant (pelagic)
Myoxocephalus bubalis,NA,NA,on the bottom (demersal)
Sillago sihama,NA,0.83,
Trigla papilio,NA,NA,buoyant (pelagic)
Acanthurus strigosus,NA,NA,buoyant (pelagic)
Paralichthys dentatus,99,2.33,buoyant (pelagic)
Paralichthys dentatus,99,3.06,buoyant (pelagic)
Paralichthys dentatus,99,5.92,buoyant (pelagic)
Scomber quadripunctatus,24,NA,buoyant (pelagic)
Channichthys rhinoceratus,NA,NA,on the bottom (demersal)
Cephalopholis nebulosus,NA,NA,buoyant (pelagic)
Scomber maculosus,NA,NA,buoyant (pelagic)
Scorpaena rufa,NA,NA,other
Pagrus unicolor,NA,NA,buoyant (pelagic)
Salmo vimba,28,NA,on the bottom (demersal)
Salmo foetens,NA,NA,
Squalus spathula,NA,NA,
Hyporhamphus melanochir,NA,NA,fixed on plant or stone
Cypselurus coromandelensis,NA,NA,
Caesio tricolor,NA,NA,buoyant (pelagic)
Scyliorhinus stellaris,NA,NA,fixed on plant or stone
Candidia barbata,NA,NA,on the bottom (demersal)
Belone urvillii,NA,NA,on the bottom (demersal)
Rajella fuliginea,NA,NA,in sand or gravel
Sebastes iracundus,NA,NA,in female (livebearers)
Lophius tumidus,NA,NA,buoyant (pelagic)
Dussumieria elopsoides,NA,1.5,
Raja sadowskii,NA,NA,on the bottom (demersal)
Raja senta,NA,NA,in sand or gravel
Caranx crysos,NA,NA,buoyant (pelagic)
Bathyraja kincaidii,NA,NA,in sand or gravel
Oncorhynchus myskis,NA,NA,in sand or gravel
Limanda ferruginea,NA,NA,buoyant (pelagic)
Coregonus nelsonii,NA,NA,in sand or gravel
Belone ardeola,NA,NA,on the bottom (demersal)
Hydrolagus pallidus,NA,NA,on the bottom (demersal)
Caranx tenebrosus,NA,NA,buoyant (pelagic)
Argentina glossodonta,NA,NA,buoyant (pelagic)
Notothenia rossii,NA,85,on the bottom (demersal)
Notothenia rossii,NA,105,on the bottom (demersal)
Lophius commersonii,NA,NA,buoyant (pelagic)
Balistapus undulatus,NA,NA,in sand or gravel
Bathylagus stilbius stilbius,NA,NA,buoyant (pelagic)
Thunnus alalunga,NA,NA,buoyant (pelagic)
Liza aurata,NA,NA,buoyant (pelagic)
Beryx splendens,NA,NA,buoyant (pelagic)
Hippocampus zebra,NA,NA,in brood pouch
Raja microps,NA,NA,in sand or gravel
Trachurus squamosus,NA,NA,buoyant (pelagic)
Belone notata,NA,NA,on the bottom (demersal)
Raja rostellata,NA,NA,in sand or gravel
Mora moro,NA,NA,buoyant (pelagic)
Bathyraja magellanica,NA,NA,on the bottom (demersal)
Trachinus trichodon,NA,NA,on the bottom (demersal)
Salmo trutta fario,NA,NA,on the bottom (demersal)
Spratelloides aestuarius,NA,NA,fixed on plant or stone
Raja yucatanensis,NA,NA,on the bottom (demersal)
Congresox talabonoides,NA,NA,
Belone platura,NA,NA,on the bottom (demersal)
Epigonus lifouensis,NA,NA,
Morone americana,85,NA,
Liza troschelli,NA,0.96,
Champsocephalus gunnari,NA,165,on the bottom (demersal)
Champsocephalus gunnari,NA,52.5,on the bottom (demersal)
Champsocephalus gunnari,NA,120,on the bottom (demersal)
Bathyraja matsubarai,NA,NA,in sand or gravel
Rajella dissimilis,NA,NA,on the bottom (demersal)
Liza curema,NA,NA,buoyant (pelagic)
Orcynopsis unicolor,NA,NA,buoyant (pelagic)
Raja manillidens,NA,NA,on the bottom (demersal)
Orthopristis chrysoptera,NA,NA,buoyant (pelagic)
Caranx amia,NA,NA,buoyant (pelagic)
Bathyraja richardsoni,NA,NA,on the bottom (demersal)
Decapterus macrosorna,NA,NA,
Anchoviella tri,NA,NA,buoyant (pelagic)
Raja whitleyi,NA,NA,on the bottom (demersal)
Raja annandalei,NA,NA,on the bottom (demersal)
Raja waitii,NA,NA,in sand or gravel
Trichiurus trimaculatus,NA,NA,buoyant (pelagic)
Forcipiger flavissimus,NA,NA,buoyant (pelagic)
Hoplostethus atlanticus,NA,15,buoyant (pelagic)
Stolephorus indicus,NA,NA,buoyant (pelagic)
Cheilodipterus artus,NA,NA,in mouth (mouthbrooders)
Trachurus fasciatus,NA,NA,buoyant (pelagic)
Seriola semicoronata,NA,NA,buoyant (pelagic)
Abudefduf curacao,13,NA,
Uranoscopus guttatus,NA,NA,buoyant (pelagic)
Raja gigas,NA,NA,in sand or gravel
Sebastes flammeus,NA,NA,in female (livebearers)
Caranx latus,NA,NA,buoyant (pelagic)
Raja montagui,NA,NA,in sand or gravel
Sardinops caeruleus,44,2.5,buoyant (pelagic)
Sardinops caeruleus,44,2,buoyant (pelagic)
Sardinops caeruleus,44,1.75,buoyant (pelagic)
Sardinops caeruleus,44,3.7,buoyant (pelagic)
Scarus lunula,NA,NA,buoyant (pelagic)
Gobionotothen acuta,NA,NA,
Caesio terus,NA,NA,buoyant (pelagic)
Anchoa nasus,NA,NA,buoyant (pelagic)
Centropomus niloticus,NA,NA,buoyant (pelagic)
Bathyraja minispinosa,NA,NA,in sand or gravel
Gymnothorax griseus,NA,NA,buoyant (pelagic)
Balistes capriscus,NA,NA,in sand or gravel
Istiophorus platypterus,NA,NA,buoyant (pelagic)
Argentina sphyraena,NA,NA,buoyant (pelagic)
Epinephelus suillus,NA,NA,buoyant (pelagic)
Belone microps,NA,NA,on the bottom (demersal)
Labrus bergylta,NA,NA,on the bottom (demersal)
Coregonus wartmanni coeruleus,NA,NA,in sand or gravel
Uranoscopus macropygus,NA,NA,buoyant (pelagic)
Hippocampus tristis,NA,NA,in brood pouch
Prionotus stephanophrys,NA,NA,
Ethmidium maculatum,NA,NA,buoyant (pelagic)
Belone melanotus,NA,NA,on the bottom (demersal)
Stolephorus macrops,NA,NA,buoyant (pelagic)
Salmo mackenzii,NA,NA,on the bottom (demersal)
Caesio digramma,NA,0.96,buoyant (pelagic)
Scomber japonicus,17,2.04,buoyant (pelagic)
Scomber japonicus,17,2.08,buoyant (pelagic)
Raja castelnaui,NA,NA,in sand or gravel
Acanthurus triostegus,NA,1.08,buoyant (pelagic)
Anarhichas vomerinus,NA,60,
Coryphaenoides tasmaniae,NA,2.5,buoyant (pelagic)
Sardinella neohowii,NA,NA,buoyant (pelagic)
Myoxocephalus octodecimspinosus,NA,NA,other
Nemadactylus macropterus,NA,NA,buoyant (pelagic)
Thryssa valenciennesi,NA,NA,buoyant (pelagic)
Sebastes carnatus,NA,NA,in female (livebearers)
Raja sibogae,NA,NA,on the bottom (demersal)
Caranx declivis,NA,NA,buoyant (pelagic)
Glyptocephalus cynoglossus,NA,7,buoyant (pelagic)
Glyptocephalus cynoglossus,NA,8,buoyant (pelagic)
Caranx ronchus,NA,NA,buoyant (pelagic)
Raja eglanteria,NA,NA,in sand or gravel
Tylosurus imperialis,NA,NA,on the bottom (demersal)
Lycengraulis grossidens,NA,NA,buoyant (pelagic)
Centropomus arabicus,NA,NA,in mouth (mouthbrooders)
Sebastes maculatus,NA,NA,buoyant (pelagic)
Thunnus vulgaris,28,3,buoyant (pelagic)
Belone taeniata,NA,NA,on the bottom (demersal)
Mola mola,NA,NA,buoyant (pelagic)
Lepidopus caudatus,NA,NA,buoyant (pelagic)
Apogon taeniophorus,NA,NA,in mouth (mouthbrooders)
Kajikia audax,NA,NA,
Pomadasys caesius,NA,NA,buoyant (pelagic)
Anchoviella tapirulus,74,NA,buoyant (pelagic)
Bathyraja isotrachys,NA,NA,in sand or gravel
Genypterus blacodes,NA,NA,buoyant (pelagic)
Euthynnus alletteratus,24,NA,buoyant (pelagic)
Raja oregoni,NA,NA,on the bottom (demersal)
Callichirus islagrande,14,0,
Hemigrapsus oregonensis,24.5,0,
Lepidophthalmus louisianensis,3,0,
Pachygrapsus crassipes,88,0,
Pandalus borealis,105,0,
Penaeus monodon,14,0,
Penaeus monodon,14,0,
Synalpheus pectiniger,3,0,
Abudefduf saxatilis,23,0,
Acanthochromis polyacanthus,0,0,
Acanthochromis polyacanthus,0,0,
Acanthurus chirurgus,55.2,0,
Acanthurus triostegus,60,0,
Acanthurus triostegus,60,0,
Acanthurus triostegus,65,0,
Alloclinus holderi,60,0,
Amphiprion clarkii,11.5,0,
Amphiprion melanopus,18.5,0,
Arnoglossus thori,31.4,0,
Atherina hepsetus,83,0,
 ,NA,0,
Axoclinus nigricaudus,18,0,
Balistes vetula,75,0,
Bathygobius soporator,30,0,
Boops boops,16.9,0,
Bothus podas,33.7,0,
Caesio cuning,45,0,
Chaetodon citrinellus,45,0,
Chaetodon quadrimaculatus,45,0,
Chanos chanos,21,0,
Chelidonichthys spinosus,19,0,
