cell_id,suitable
32129,1
32130,1
32132,1
32137,1
32138,1
32139,1
32140,1
32162,1
32438,1
32439,1
32440,1
32441,1
32443,1
32445,1
32446,1
32447,1
32448,1
32449,1
32565,1
32566,1
32567,1
32572,1
32578,1
32579,1
32598,1
32604,1
32605,1
32844,1
32845,1
32846,1
32881,1
32882,1
32883,1
32884,1
32889,1
32891,1
32892,1
33009,1
33010,1
33014,1
33019,1
33020,1
33023,1
33051,1
33052,1
33053,1
33288,1
33324,1
33327,1
33330,1
33336,1
33337,1
33340,1
33341,1
33453,1
33457,1
33458,1
33463,1
33465,1
33494,1
33733,1
33781,1
33782,1
33895,1
33896,1
33897,1
33903,1
33904,1
33930,1
34177,1
34183,1
34213,1
34215,1
34216,1
34227,1
34228,1
34341,1
34342,1
34348,1
34374,1
34620,1
34654,1
34655,1
34661,1
34662,1
34782,1
34783,1
34784,1
34789,1
34826,1
34829,1
34976,1
35095,1
35111,1
35112,1
35113,1
35114,1
35261,1
35262,1
35273,1
35425,1
35426,1
35554,1
35555,1
35557,1
35561,1
35562,1
35563,1
35575,1
35577,1
35686,1
35720,1
35721,1
35733,1
35734,1
35735,1
35888,1
35889,1
36009,1
36014,1
36017,1
36020,1
36023,1
36027,1
36034,1
36035,1
36036,1
36037,1
36038,1
36147,1
36361,1
36362,1
36363,1
36461,1
36462,1
36476,1
36477,1
36479,1
36496,1
36497,1
36506,1
36614,1
36835,1
36836,1
36837,1
36934,1
36942,1
36944,1
36950,1
36951,1
36966,1
37085,1
37318,1
37319,1
37416,1
37430,1
37431,1
37801,1
37802,1
37803,1
37913,1
37926,1
37927,1
37934,1
37936,1
37944,1
37945,1
38051,1
38052,1
38292,1
38293,1
38294,1
38379,1
38392,1
38403,1
38415,1
38416,1
38417,1
38418,1
38434,1
38538,1
38540,1
38779,1
38780,1
38864,1
38867,1
38879,1
38881,1
38882,1
38893,1
38905,1
38921,1
38922,1
38923,1
38924,1
39027,1
39028,1
39029,1
39356,1
39359,1
39383,1
39384,1
39402,1
39403,1
39411,1
39412,1
39413,1
39415,1
39417,1
39419,1
39422,1
39519,1
39520,1
39872,1
39874,1
39875,1
39892,1
39893,1
39894,1
39895,1
39902,1
39903,1
39909,1
39910,1
39911,1
39912,1
39913,1
39914,1
39915,1
39916,1
39917,1
39918,1
39920,1
39921,1
40013,1
40014,1
40082,1
40370,1
40371,1
40372,1
40410,1
40412,1
40413,1
40414,1
40416,1
40417,1
40418,1
40420,1
40872,1
40874,1
40875,1
40919,1
40922,1
40923,1
41024,1
41380,1
41381,1
41382,1
41383,1
41431,1
41433,1
41455,1
41504,1
41505,1
41532,1
41533,1
41593,1
41892,1
41895,1
41896,1
41899,1
41900,1
42018,1
42019,1
42022,1
42023,1
42046,1
42137,1
42417,1
42419,1
42420,1
42421,1
42422,1
42468,1
42469,1
42470,1
42544,1
42545,1
42618,1
42942,1
42944,1
42952,1
42955,1
42973,1
42984,1
43004,1
43080,1
43179,1
43532,1
43672,1
43779,1
44061,1
44261,1
44310,1
44594,1
44595,1
44680,1
44794,1
44796,1
45130,1
45299,1
45331,1
45379,1
45670,1
45875,1
45876,1
45923,1
46178,1
46206,1
46211,1
46217,1
46218,1
46221,1
46341,1
46395,1
46429,1
46430,1
46435,1
46476,1
46477,1
46777,1
46925,1
46963,1
46987,1
46989,1
46992,1
46993,1
47292,1
47315,1
47317,1
47332,1
47346,1
47381,1
47422,1
47510,1
47523,1
47524,1
47525,1
47526,1
47527,1
47548,1
47549,1
47552,1
47555,1
47556,1
47853,1
47880,1
47881,1
47884,1
47885,1
47894,1
47987,1
48038,1
48051,1
48052,1
48076,1
48086,1
48090,1
48091,1
48093,1
48114,1
48115,1
48118,1
48454,1
48469,1
48515,1
48556,1
48557,1
48621,1
48647,1
48665,1
48688,1
48691,1
48696,1
48778,1
49013,1
49014,1
49037,1
49227,1
49257,1
49265,1
49562,1
49585,1
49741,1
49787,1
49788,1
49795,1
49819,1
49822,1
49823,1
49829,1
50126,1
50141,1
50142,1
50146,1
50147,1
50148,1
50152,1
50153,1
50297,1
50345,1
50352,1
50353,1
50381,1
50390,1
50391,1
50707,1
50713,1
50856,1
50900,1
50903,1
50904,1
50910,1
50912,1
50939,1
50940,1
50946,1
50948,1
50949,1
50950,1
50951,1
50952,1
51250,1
51257,1
51264,1
51265,1
51455,1
51457,1
51458,1
51459,1
51495,1
51496,1
51502,1
51504,1
51505,1
51506,1
51507,1
51510,1
51534,1
51807,1
51808,1
51813,1
51820,1
52008,1
52010,1
52011,1
52012,1
52060,1
52061,1
52063,1
52064,1
52090,1
52364,1
52365,1
52370,1
52526,1
52531,1
52563,1
52564,1
52565,1
52580,1
52606,1
52612,1
52615,1
52616,1
52700,1
52921,1
52925,1
53080,1
53081,1
53114,1
53115,1
53131,1
53665,1
53666,1
53667,1
53732,1
54017,1
54018,1
54210,1
54211,1
54212,1
54277,1
54311,1
54723,1
54725,1
54726,1
54759,1
54760,1
54761,1
54795,1
54811,1
54827,1
54828,1
54862,1
55265,1
55277,1
55278,1
55279,1
55312,1
55313,1
55314,1
55319,1
55323,1
55349,1
55365,1
55382,1
55430,1
55828,1
55829,1
55879,1
55880,1
55881,1
55911,1
55913,1
56165,1
56393,1
56394,1
56407,1
56408,1
56410,1
56438,1
56446,1
56447,1
56449,1
56450,1
56463,1
56476,1
56492,1
56509,1
56787,1
56958,1
56959,1
57015,1
57044,1
